vOTUs,W-G-1,W-G-2,W-G-3,W-W-1,W-W-2,W-W-3,Y-G-1,Y-G-2,Y-G-3,Y-W-1,Y-W-2,Y-W-3
Y-G-3__89851,0,0,3.544699,0,0,0,0,0,21.468583,0,0,0
Y-G-3__89885,0,0.105358,0,0,0,0,6.281094,16.320232,44.288435,0,0,0.288321
Y-G-3__89913,0,0,0,0,0,0,30.448597,5.515222,97.128666,0,0,0
Y-G-3__89917,0,0.20116,0.125205,0,0,0,0,1.498082,50.768623,0,0.114625,0.220196
Y-G-3__89935,0,0,0,0,0,0,1.695066,10.471375,13.256583,0,0,0
Y-G-3__90013,0,0,0,8.805859,0,0,0,0,15.747691,0,0,0
Y-G-3__90044,0,0,0,0,0,0,0,0,18.659666,0,0,0
Y-G-3__9005,3.168271,64.362587,0,0,0,0,51.843946,1.246147,85.515866,0,0,0
Y-G-3__90068,0.054404,0,0.0297,0,0,0.251141,0.392379,0.094763,139.240513,0.013884,0,0
Y-G-3__90095,0,0,0,0,0,0,0,0,8.473791,0,0,0
Y-G-3__90097,0,0,0,0,0,0,42.378527,124.498326,11.637363,0,0,0
Y-G-3__90109,0,0,0,0,0,0,4.179368,12.977455,438.607951,0,0,0
Y-G-3__90124,0,0,0,0,0,0,5.739106,84.575157,6.281281,0,0.630315,0
Y-G-3__90247,0,0,1.24511,0,0,0,0,0.441417,10.771597,0,0,0.121653
Y-G-3__90257,0,0,1.54893,0,1.318477,0,7.608239,3.2314,15.94794,0.055701,0.109081,0.523862
Y-G-3__90269,0,0,0,0,0,0,0,10.433896,86.437092,0,0,0
Y-G-3__9030,0.041886,0,0,0,0,0,17.461056,41.41136,31.942503,0,0.100483,15.249316
Y-G-3__90362,0,0,0,0,0,0,0,0,63.07269,0,0,0
Y-G-3__90369,0,0,0,0,0,0,0,0,33.531815,0,0,0
Y-G-3__90397,0,0,0.15395,0,0,0,6.44068,71.470493,28.552291,0,0,0
Y-G-3__90399,0,0,0.094886,0,0,0,0,0,371.508468,0,0,0
Y-G-3__90472,0.022896,0,0,46.740503,0,24.098387,63.302183,34.378253,34.248346,0,0,0
